nev = 29, nb = 0, ne = 28
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29372417
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29372417
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 20951049
============================= end ===========================
==================== Brief of the dmatcsr ====================
nr = 4198401
nc = 4198401
nn = 29315089
============================= end ===========================
********** amg parameters **********
strong_connection_threshold          = 0.25
strong_diagonally_dominant_threshold = 0.1
truncation_threshold                 = 0.2
positive_connected                   = 0
interpolation_type                   = 1
max_level                            = 100
max_coarsest_dof                     = 1000
setup_phase_print_level              = 0

linear_solver_base_type = 2

cg_max_iter = 1000
cg_tol      = 1e-14

gs_max_iter = 1000
gs_tol      = 1e-14

amgcycle_tol                 = 1e-16
amgcycle_coarsest_tol        = 1e-18
amgcycle_mu                  = 1
amgcycle_pre_post_smooth     = 1
amgcycle_coarsest_level      = 0
amgcycle_max_coarsest_smooth = 1000
amgcycle_print_level         = 0

amgsolver_tol                     = 1e-12
amgsolver_max_cycle               = 100
amgsolver_max_convergence_factor  = 0.99
amgsolver_nmax_convergence_factor = 1
amgsolver_print_level             = 0

pcg_amg_tol         = 1e-14
pcg_amg_max_iter    = 100
pcg_amg_print_level = 0

amgeigen_coarsest_level = 0
amgeigen_nouter_iter    = 1
amgeigen_print_level    = 1
************************************

init time: 38.894928
========================= multigrid =========================
level =  0, nrow = 4198401, nnz = 20951049, sparse =  4.990245
level =  1, nrow = 2095105, nnz = 18839569, sparse =  8.992184
level =  2, nrow =  525310, nnz = 4733900, sparse =  9.011631
level =  3, nrow =  131585, nnz = 1181217, sparse =  8.976836
level =  4, nrow =   33024, nnz =  295944, sparse =  8.961483
level =  5, nrow =    8564, nnz =   78388, sparse =  9.153199
level =  6, nrow =    2137, nnz =   20213, sparse =  9.458587
grid complexity = 1.665902, operator complexity = 2.200381
=============================================================
setup phase time: 26.025194
=============== 0 ===============
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  3    25       1        0.000231375249027     0.066749
  3    26       1        0.000087752331853     0.064390
  3    27       1        0.000186618926358     0.065253
  3    28       1        0.000123703057041     0.080350
.......................................................
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  2     0       1        0.000279541256355     0.463978
  2     1       1        0.000196899872693     0.379476
  2     2       1        0.000174093994828     0.382083
  2     3       1        0.000133611692291     0.378866
  2     4       1        0.000137117628021     0.366938
  2     5       1        0.000098997768715     0.382508
  2     6       1        0.000103460663011     0.407690
  2     7       1        0.000090179703147     0.423447
  2     8       1        0.000090759150941     0.329629
  2     9       1        0.000080348897234     0.322938
  2    10       1        0.000091143572508     0.407088
  2    11       1        0.000099510118165     0.458668
  2    12       1        0.000088748805607     0.585787
  2    13       1        0.000073876432856     0.490904
  2    14       1        0.000065151094800     0.436974
  2    15       1        0.000075132805878     0.428733
  2    16       1        0.000062094838378     0.413095
  2    17       1        0.000069211435101     0.453232
  2    18       1        0.000059098949856     0.464135
  2    19       1        0.000071890959402     0.478545
  2    20       1        0.000067033031065     0.396357
  2    21       1        0.000055118642423     0.375042
  2    22       1        0.000061071920856     0.413556
  2    23       1        0.000054039554712     0.383084
  2    24       1        0.000073796135926     0.423957
  2    25       1        0.000049996865712     0.352198
  2    26       1        0.000060167227009     0.346077
  2    27       1        0.000054728576789     0.362856
  2    28       1        0.000065602906552     0.422451
.......................................................
.............. Eigen -- linear solver amg .............
level   j   amgcycle            rn               time 
  1     0       1        0.000248353011912     1.806614
  1     1       1        0.000140175417311     1.873126
  1     2       1        0.000141506132973     1.835189
  1     3       1        0.000112284457440     1.872115
  1     4       1        0.000081785634671     1.738677
  1     5       1        0.000092283662767     1.763246
  1     6       1        0.000067182101008     2.372670
  1     7       1        0.000070192732482     2.132427
  1     8       1        0.000064864089789     1.865774
  1     9       1        0.000062679691570     1.799755
  1    10       1        0.000073226136226     1.876296
  1    11       1        0.000068367964996     1.995180
  1    12       1        0.000062824904233     1.998854
  1    13       1        0.000045844907270     1.958751
  1    14       1        0.000047746865729     1.807192
